"anio_ingreso_universidad","sexo","edad","anio_egreso_secundaria","semestre_actual","beca_rendimiento","transporte_universidad","horas_estudio_dia","frecuencia_estudio_dia","modalidad_aprendizaje","smartphone","computadora_personal","horas_redes_sociales","nivel_ingles","asistencia_promedio","riesgo_academico","suspension_academica","tutorias_docentes","habilidades","horas_habilidades_dia","area_interes","estado_sentimental","actividades_extracurriculares","con_quien_vives","problemas_salud","discapacidad_fisica","creditos_completados","ingreso_familiar_anual","horas_clases_semanales","horas_sueno_dia","horas_ejercicio_semanal","tipo_transporte","horas_transporte_total","horas_trabajo_semanal","nota_semestre"
"2021","1","21","2020","2","1","1","4","2","0","1","1","2","1","88","0","0","1","52","2","17","5","1","0","0","0","11","100000","16","8","4","1","4","0","13.40"
"2019","1","23","2018","11","1","0","6","2","0","1","1","3","1","100","0","0","0","52","2","17","5","1","0","0","0","73","30000","26","8","2","1","6","0","19.20"
"2022","0","20","2020","2","0","0","2","1","0","1","1","6","1","80","1","0","0","42","2","17","5","0","0","0","0","11","70000","11","9","3","2","3","0","13.40"
"2018","0","24","2016","10","0","1","2","1","1","1","1","4","0","90","1","0","0","52","4","17","5","0","1","0","0","113","40000","22","9","3","1","7","15","13.40"
"2022","0","21","2020","2","1","0","2","4","0","1","1","1","0","100","0","0","1","42","2","17","1","1","0","0","0","11","10000","17","9","4","2","3","0","13.40"
"2021","1","20","2020","4","1","1","2","1","0","1","1","2","2","82","0","0","1","42","4","17","4","0","0","0","0","36","40000","17","9","4","1","4","0","13.40"
"2021","1","22","2020","4","1","1","1","1","0","1","1","1","1","90","0","0","0","42","0","17","5","0","1","0","0","36","20000","16","9","4","1","4","0","13.40"
"2021","1","20","2019","5","0","0","3","2","0","1","1","1","1","98","0","0","0","52","8","14","5","1","0","0","0","50","22000","17","8","4","2","3","0","13.40"
"2019","1","23","2017","11","0","1","3","2","1","1","1","1","1","85","1","0","1","52","2","17","5","0","0","1","0","126","45000","24","8","3","1","6","25","13.40"
"2020","0","21","2019","8","0","1","4","1","0","1","1","3","1","90","0","0","1","52","1","17","5","0","1","0","0","88","40000","21","8","3","1","7","15","13.40"
"2022","0","20","2020","2","1","1","2","1","0","1","1","5","1","90","0","0","1","42","1","17","5","0","1","1","0","11","50000","14","9","4","1","4","0","13.40"
"2020","0","22","2019","8","1","0","3","1","0","1","1","4","1","90","0","0","1","52","2","17","5","0","0","0","0","88","50000","23","9","3","1","6","0","13.40"
"2018","1","23","2017","13","0","0","2","4","0","1","1","6","0","88","1","0","1","26","1","17","4","0","0","0","0","112","30000","27","8","3","1","6","35","13.40"
"2022","1","20","2020","2","1","0","3","4","0","1","1","1","0","95","0","0","1","46","5","17","5","0","0","0","0","11","40000","17","8","3","2","3","0","13.40"
"2021","1","19","2020","4","1","0","1","1","0","1","0","1","1","95","0","0","1","42","1","17","5","1","1","0","0","35","30000","17","10","6","2","4","0","17.50"
"2021","1","21","2019","4","1","1","4","2","0","1","1","1","1","90","0","0","0","52","2","17","5","1","1","0","0","27","40000","17","8","3","1","4","0","16.90"
"2020","1","21","2019","8","0","0","2","2","0","1","1","1","1","90","1","1","1","42","1","14","5","0","0","0","0","88","30000","19","8","3","1","5","35","13.40"
"2019","0","22","2017","10","0","0","9","3","1","1","1","1","1","88","1","0","0","9","1","13","5","0","0","0","0","113","62488","27","6","2","3","5","0","13.40"
"2022","0","19","2020","2","1","1","3","2","0","1","1","2","0","100","0","0","1","42","3","17","5","1","1","0","0","11","35000","16","9","4","1","4","0","13.40"
"2022","0","22","2022","4","1","0","1","1","0","1","1","10","0","80","1","0","0","42","2","17","5","0","1","0","0","36","100000","16","9","4","2","4","5","13.40"
"2021","1","22","2018","4","1","0","3","2","0","1","1","3","1","80","0","0","1","26","3","14","5","0","0","0","0","36","30000","18","9","3","1","4","0","13.40"
"2019","0","21","2019","9","0","0","2","3","0","1","1","3","0","92","1","0","1","52","1","17","5","1","0","0","0","86","20000","22","8","4","1","6","35","9.45"
"2021","0","19","2020","4","1","0","7","3","0","1","0","3","2","90","0","0","1","42","1","17","5","1","1","0","0","35","62488","21","8","2","1","4","5","18.50"
"2022","1","19","2020","2","1","0","4","2","0","1","1","2","1","95","0","0","1","42","2","17","5","1","1","0","0","11","30000","16","8","4","2","4","0","13.40"
"2022","1","21","2019","2","1","0","5","2","0","1","1","3","1","95","0","0","0","42","2","17","5","0","0","0","0","11","20000","16","7","2","2","3","0","13.40"
"2019","1","25","2018","11","1","0","2","1","0","1","1","2","1","70","1","0","0","52","4","17","5","0","0","1","0","91","30000","22","6","3","3","5","0","0.00"
"2019","0","22","2019","9","0","1","3","3","1","1","0","2","0","99","0","0","1","52","2","9","5","0","1","1","0","100","20000","22","8","3","1","7","15","13.40"
"2018","1","24","2017","13","0","0","2","2","0","1","1","4","0","50","1","1","1","52","5","17","3","1","0","0","0","110","60000","22","7","3","3","5","0","11.00"
"2017","1","22","2017","15","1","0","1","1","0","1","1","4","2","100","1","0","1","52","4","17","5","0","0","1","0","90","62488","28","9","4","1","6","0","13.00"
"2019","0","22","2018","11","0","1","3","1","0","1","1","3","1","95","0","0","1","26","0","17","3","0","1","1","0","120","150000","23","8","3","1","7","0","13.50"
"2018","1","23","2017","14","0","0","2","2","1","1","1","1","1","90","1","1","1","42","2","17","5","1","1","0","0","120","30000","25","8","4","1","5","15","14.35"
"2021","1","20","2019","5","0","0","4","4","0","1","1","1","1","95","1","0","0","42","4","17","5","0","0","0","0","50","25000","19","7","2","3","4","0","13.40"
"2019","1","23","2017","9","0","1","2","1","1","1","1","4","1","70","0","0","1","7","4","15","4","1","1","0","0","100","200000","21","9","5","1","5","0","13.40"
"2015","1","26","2012","21","0","0","1","1","0","1","1","1","0","85","1","0","0","52","1","13","5","0","0","1","1","77","50000","29","8","4","1","6","0","13.40"
"2019","1","22","2019","9","0","0","3","5","1","1","1","1","1","99","0","0","0","52","3","17","5","0","0","0","0","100","40000","24","8","2","1","6","25","13.40"
"2019","1","23","2018","9","0","1","1","1","0","1","1","1","1","70","0","0","0","52","1","13","4","1","1","1","0","76","15000","18","8","5","1","5","15","13.50"
"2019","1","21","2018","11","0","1","2","1","0","1","1","1","1","73","0","0","1","42","2","15","5","0","1","0","0","126","75000","23","9","4","1","7","0","13.40"
"2019","1","22","2018","11","0","0","2","2","1","1","1","1","1","100","1","1","1","42","2","17","5","0","0","1","0","126","40000","22","7","3","3","5","25","13.40"
"2018","0","23","2016","14","0","1","3","2","0","1","1","1","0","70","1","0","0","42","2","13","5","0","0","1","1","118","20000","24","8","2","1","6","35","14.90"
"2019","0","21","2018","11","0","0","1","1","0","1","1","2","2","75","0","0","1","52","2","17","4","0","1","0","0","126","40000","23","9","4","1","7","15","13.40"
"2021","0","20","2019","2","1","0","5","2","0","1","1","7","0","80","0","0","0","42","2","17","5","1","0","1","0","11","62488","14","7","3","2","3","0","13.40"
"2019","0","21","2019","9","0","0","6","3","0","1","1","2","1","88","0","0","1","52","4","17","5","0","0","0","0","100","62488","25","7","2","3","5","0","13.40"
"2019","1","22","2019","9","0","0","3","4","0","1","1","2","1","99","0","0","0","52","7","22","5","0","0","0","0","100","15000","23","8","2","1","6","35","17.60"
"2020","1","23","2018","8","1","1","4","5","0","1","1","3","1","100","0","0","1","42","2","17","5","1","0","0","0","68","20000","26","8","3","1","6","0","17.40"
"2016","1","25","2014","11","1","1","2","1","1","1","1","3","2","90","1","0","1","52","3","17","5","1","1","0","0","126","63000","26","9","5","1","5","5","13.40"
"2019","0","22","2018","11","1","1","1","2","1","1","1","3","0","80","0","0","0","52","3","15","5","0","1","0","0","126","50000","24","9","4","1","7","0","13.40"
"2020","1","20","2019","6","0","0","2","2","1","1","1","5","0","90","1","0","0","26","2","15","5","0","1","0","0","65","40000","17","8","3","2","4","15","13.40"
"2018","1","25","2016","14","0","0","6","4","1","1","1","2","2","2","1","0","1","52","4","17","5","1","1","0","0","121","60000","27","7","2","3","5","0","15.80"
"2021","0","21","2019","5","0","0","2","3","0","1","1","1","0","87","1","0","1","42","1","20","3","0","1","0","0","39","60000","17","8","3","2","4","0","9.60"
"2021","1","20","2020","4","0","1","2","1","0","1","1","2","1","80","0","0","1","52","4","2","5","0","1","1","0","36","30000","14","9","4","1","4","15","13.40"
"2015","1","27","2014","10","0","1","5","2","1","1","1","6","0","50","1","0","1","26","2","15","5","0","1","0","0","113","7000","22","8","2","1","7","15","13.40"
"2019","0","22","2018","11","0","0","8","3","1","1","1","4","1","99","0","0","1","52","4","17","5","0","0","0","0","126","20000","29","7","2","3","5","35","13.40"
"2022","1","20","2020","2","0","1","3","3","0","1","1","1","1","99","0","0","0","42","1","17","5","0","1","0","0","11","20000","14","8","2","1","4","15","13.40"
"2020","1","22","2018","7","0","1","1","1","0","1","1","5","0","70","1","0","1","26","1","15","5","0","1","0","0","77","20000","18","9","4","1","5","15","13.40"
"2022","1","21","2020","2","1","1","7","2","1","1","1","1","1","100","0","0","1","42","3","17","5","1","1","0","0","11","30000","18","7","2","1","4","0","13.40"
"2018","1","23","2017","13","0","0","2","1","0","1","1","1","0","75","1","1","1","42","3","17","5","0","0","0","0","136","35000","24","8","3","1","6","35","13.40"
"2020","0","23","2020","8","1","0","6","3","0","1","1","6","1","100","0","0","1","42","2","17","5","0","0","0","0","88","62488","26","8","2","1","6","0","13.40"
"2017","0","25","2015","8","0","0","2","2","0","1","1","1","1","100","0","0","1","26","2","15","3","0","1","0","0","88","60000","21","9","4","1","7","0","13.40"
"2022","0","20","2020","2","0","1","4","3","0","1","0","2","1","88","0","0","1","42","3","17","5","0","0","0","0","11","60000","15","8","2","1","4","0","13.40"
"2021","1","21","2020","4","1","1","2","2","0","1","1","2","2","80","0","0","1","42","2","17","4","1","1","0","0","36","50000","17","9","5","1","4","0","13.40"
"2015","0","26","2014","22","0","1","2","2","1","1","1","3","1","80","1","1","0","46","2","17","3","1","1","1","0","77","30000","29","7","3","1","5","15","13.40"
"2019","1","23","2018","11","0","1","5","5","0","1","1","3","1","90","0","0","1","26","2","15","5","0","0","0","0","114","28000","28","8","2","1","6","35","16.45"
"2019","0","22","2018","11","0","1","3","1","0","1","1","3","1","100","0","0","1","1","3","14","5","1","1","0","0","126","60000","25","9","5","1","5","0","13.40"
"2017","1","23","2017","12","0","0","2","2","0","1","1","1","2","100","1","0","1","26","3","17","5","0","0","0","0","136","90000","26","9","4","1","6","0","13.40"
"2017","1","24","2017","15","0","0","3","2","1","1","1","3","2","80","1","0","1","52","4","17","5","0","0","0","0","113","200000","28","9","3","1","6","0","13.40"
"2020","0","21","2019","8","0","0","4","2","0","1","1","1","1","100","0","0","0","52","1","17","5","1","1","0","0","88","50000","21","8","3","1","5","15","13.40"
"2019","0","22","2018","9","0","1","3","1","0","1","1","5","0","80","1","0","0","42","3","17","3","0","0","1","0","77","4000","19","7","3","1","5","35","10.00"
"2022","1","19","2020","2","1","1","3","2","0","1","1","3","0","90","0","0","1","42","1","17","5","0","1","0","0","11","40000","16","9","3","1","4","0","13.40"
"2019","0","21","2018","10","0","0","5","1","0","1","1","3","1","80","1","0","1","42","2","17","5","0","0","1","0","105","80000","22","8","2","1","6","0","16.50"
"2019","1","23","2017","10","0","1","3","2","1","1","1","2","0","90","0","0","1","46","3","17","5","0","0","1","0","113","35000","23","8","3","1","6","35","13.40"
"2019","1","21","2018","9","0","0","1","1","1","1","1","12","1","90","0","0","1","52","6","17","5","0","0","0","0","79","65000","21","9","4","1","6","0","15.05"
"2018","1","23","2017","12","0","0","4","1","0","1","1","2","1","97","0","0","1","52","4","17","5","0","0","0","0","136","20000","26","9","3","1","6","35","13.40"
"2019","1","22","2018","9","0","0","3","2","0","1","1","3","0","95","0","0","1","52","2","9","5","0","0","0","0","103","40000","23","9","3","1","6","25","16.00"
"2018","0","23","2017","12","0","0","3","2","1","1","1","2","2","80","1","0","1","42","2","17","5","1","1","0","0","136","100000","25","9","4","1","5","0","13.40"
"2022","0","20","2020","2","1","0","4","1","0","1","1","6","0","90","0","0","1","42","2","17","5","0","0","0","0","11","50000","15","8","3","2","3","0","13.40"
"2018","1","25","2015","12","1","0","1","3","0","0","1","1","1","90","0","0","0","52","1","17","5","0","0","0","0","136","20000","26","8","3","1","6","0","13.40"
"2022","1","20","2020","2","1","1","3","2","0","1","1","4","1","90","0","0","1","42","2","17","5","1","1","0","0","11","30000","16","9","4","1","4","0","13.40"
"2020","0","23","2018","7","0","1","3","2","0","1","1","4","0","40","1","1","1","52","2","17","3","1","1","0","0","70","60000","16","7","2","1","4","0","12.00"
